"state","lga","itn_campaign_net_quantity","itn_campaign_bale_quantity","itn_routine_net_quantity","intervention","total_cost","target_value","target"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"iptp",17155106.8249767,14770.5895543162,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"cm_private",NA,295411.791086324,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"vacc",250489071.59017,10284.2176896504,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"cm_public",87621703.8672647,321381.802801576,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"itn_campaign",1425561248.20386,321381.802801576,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"itn_routine",161904806.447304,53027.99746226,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"smc",150405603.86828,35110.9619560721,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"pmc",134517567.380627,25710.544224126,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"iptp",18663233.2392364,16069.0901400788,"Population"
"Ekiti","Ekiti West",182434.944126994,3648.69888253987,21573.0405554865,"cm_private",NA,321381.802801576,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"vacc",131470500.247081,5397.7254804967,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"cm_public",45988709.8738521,168678.921265522,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"itn_campaign",748213282.297821,168678.921265522,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"itn_routine",84976585.0498258,27832.0220088111,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"smc",78941168.3910887,18428.1721482583,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"pmc",70602249.2848966,13494.3137012417,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"iptp",9795495.64623262,8433.94606327609,"Population"
"Ekiti","Emure",95751.9352627335,1915.03870525467,11322.7232456703,"cm_private",NA,168678.921265522,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"vacc",223154242.447098,9161.94384499864,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"cm_public",78059912.252039,286310.745156208,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"itn_campaign",1269995686.38009,286310.745156208,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"itn_routine",144236809.222578,47241.2729507742,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"smc",133992466.729002,31279.4489083157,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"pmc",119838225.492582,22904.8596124966,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"iptp",16626592.3246718,14315.5372578104,"Population"
"Ekiti","Idosi Osi",162526.57848142,3250.53156962841,19218.8644872962,"cm_private",NA,286310.745156208,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"vacc",309447448.668852,12704.845386725,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"cm_public",108245491.660031,397026.418335156,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"itn_campaign",1761099948.90164,397026.418335156,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"itn_routine",200012834.74879,65509.3590253007,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"smc",185807029.772087,43375.1362031158,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"pmc",166179377.658363,31762.1134668125,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"iptp",23056055.3924783,19851.3209167578,"Population"
"Ekiti","Ijero",225375.213576216,4507.50427152433,26650.7529352308,"cm_private",NA,397026.418335156,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"vacc",207194629.717664,8506.69716892587,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"cm_public",72477199.7946164,265834.286528934,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"itn_campaign",1179167750.0594,265834.286528934,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"itn_routine",133921237.395315,43862.657277274,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"smc",124409552.892338,29042.395803286,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"pmc",111267598.969551,21266.7429223147,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"iptp",15437486.6567621,13291.7143264467,"Population"
"Ekiti","Ikere",150902.953394309,3018.05906788618,17844.363913374,"cm_private",NA,265834.286528934,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"vacc",237677308.719194,9758.21087619202,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"cm_public",83140117.1650114,304944.089881001,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"itn_campaign",1352648076.56688,304944.089881001,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"itn_routine",153623862.393713,50315.7748303651,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"smc",142712809.452166,33315.1418194993,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"pmc",127637398.260591,24395.52719048,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"iptp",17708664.9734479,15247.20449405,"Population"
"Ekiti","Ikole",173103.945258672,3462.07890517344,20469.6443943356,"cm_private",NA,304944.089881001,"Population"
"Ekiti","Ilejemeje",44144.9901827117,882.899803654234,5220.17132238802,"vacc",60612497.5625679,2488.54018137259,"Population"
"Ekiti","Ilejemeje",44144.9901827117,882.899803654234,5220.17132238802,"cm_public",21202403.2759881,77766.8806678935,"Population"
"Ekiti","Ilejemeje",44144.9901827117,882.899803654234,5220.17132238802,"itn_campaign",344952484.886924,77766.8806678935,"Population"
"Ekiti","Ilejemeje",44144.9901827117,882.899803654234,5220.17132238802,"itn_routine",39177176.9676692,12831.5353102024,"Population"
