"state","lga","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Adamawa","Girei",223125.318710832,39270.0560931064,11156.2659355416,NA,1,10,"USD",638148.126064434,2.86004353854377
"Adamawa","Gombi",253937.249057161,44692.9558340604,12696.8624528581,NA,1,10,"Naira",1158052248.57693,4560.38746925329
"Adamawa","Gombi",253937.249057161,44692.9558340604,12696.8624528581,NA,1,10,"USD",723782.65536058,2.8502421682833
"Adamawa","Guyuk",303282.387116825,53377.7001325613,15164.1193558413,NA,1,10,"Naira",1382876338.50213,4559.69880627932
"Adamawa","Guyuk",303282.387116825,53377.7001325613,15164.1193558413,NA,1,10,"USD",864297.711563833,2.84981175392458
"Adamawa","Hong",290701.249820605,51163.4199684265,14535.0624910302,NA,1,12,"Naira",1335227577.32407,4593.12637337491
"Adamawa","Hong",290701.249820605,51163.4199684265,14535.0624910302,NA,1,12,"USD",834517.235827545,2.87070398335933
"Adamawa","Jada",289433.170153217,50940.2379469663,14471.6585076609,NA,1,11,"Naira",1325934962.11531,4581.14376252522
"Adamawa","Jada",289433.170153217,50940.2379469663,14471.6585076609,NA,1,11,"USD",828709.351322069,2.86321485157826
"Adamawa","Lamurde",191163.86899122,33644.8409424547,9558.193449561,NA,1,10,"Naira",878447658.746804,4595.25988557571
"Adamawa","Lamurde",191163.86899122,33644.8409424547,9558.193449561,NA,1,10,"USD",549029.786716752,2.87203742848482
"Adamawa","Madagali",232209.786463511,40868.9224175779,11610.4893231756,NA,1,10,"Naira",1062638399.23365,4576.19988983811
"Adamawa","Madagali",232209.786463511,40868.9224175779,11610.4893231756,NA,1,10,"USD",664148.999521032,2.86012493114882
"Adamawa","Maiha",189309.860913834,33318.5355208347,9465.49304569169,NA,1,10,"Naira",876759026.003949,4631.34366995818
"Adamawa","Maiha",189309.860913834,33318.5355208347,9465.49304569169,NA,1,10,"USD",547974.391252468,2.89458979372386
"Adamawa","Mayo Belwa",262556.066959079,46209.8677847979,13127.803347954,NA,1,12,"Naira",1206986388.79399,4597.06150679849
"Adamawa","Mayo Belwa",262556.066959079,46209.8677847979,13127.803347954,NA,1,12,"USD",754366.492996245,2.87316344174906
"Adamawa","Michika",266740.042555405,46946.2474897513,13337.0021277702,NA,1,16,"Naira",1230241995.87922,4612.13841046638
"Adamawa","Michika",266740.042555405,46946.2474897513,13337.0021277702,NA,1,16,"USD",768901.247424509,2.88258650654147
"Adamawa","Mubi North",260342.941469113,45820.3576985639,13017.1470734557,NA,1,11,"Naira",1189024959.72372,4567.14882690524
"Adamawa","Mubi North",260342.941469113,45820.3576985639,13017.1470734557,NA,1,11,"USD",743140.599827325,2.85446801681578
"Adamawa","Mubi South",223298.86348916,39300.5999740921,11164.943174458,NA,1,10,"Naira",1027799112.22675,4602.7959845691
"Adamawa","Mubi South",223298.86348916,39300.5999740921,11164.943174458,NA,1,10,"USD",642374.445141721,2.8767474903557
"Adamawa","Numan",157305.454565923,27685.7600036025,7865.27272829615,NA,1,10,"Naira",732980719.690318,4659.60142140617
"Adamawa","Numan",157305.454565923,27685.7600036025,7865.27272829615,NA,1,10,"USD",458112.949806449,2.91225088837886
"Adamawa","Shelleng",255145.18944493,44905.5533423077,12757.2594722465,NA,1,10,"Naira",1171878925.86537,4592.98851926152
"Adamawa","Shelleng",255145.18944493,44905.5533423077,12757.2594722465,NA,1,10,"USD",732424.328665855,2.87061782453845
"Adamawa","Song",335384.734577258,59027.7132855974,16769.2367288629,NA,1,11,"Naira",1525285462.81055,4547.86788293488
